DOI,MATERIAL 1,MATERIAL 2,MATERIAL 3,MATERIAL 4,Electrolyte Concentration,ELECTROLYTE ,Electrode Configuration,Cell Configuration,Specific Surface Area(m2/g),Pore Size(mm),CURRENT DENSITY(A/g),Voltage Window,Cycle Number,Pore Volume(cm3/g),Scan Rate(mv/s),Capacitance(F/g)
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,234,7.12,123.70,261.66
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,247,7.12,123.70,263.19
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,260,7.12,123.70,261.06
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,273,7.12,123.70,260.89
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,286,7.12,123.70,262.52
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,299,7.12,123.70,261.47
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,312,7.12,123.70,263.23
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,325,7.12,123.70,269.95
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,338,7.12,123.70,264.05
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,351,7.12,123.70,262.56
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,364,7.12,123.70,263.13
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,377,7.12,123.70,261.79
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,390,7.12,123.70,262.42
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,403,7.12,123.70,269.21
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,416,7.12,123.70,263.97
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,429,7.12,123.70,261.88
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,442,7.12,123.70,262.26
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,455,7.12,123.70,262.73
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,468,7.12,123.70,260.57
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,481,7.12,123.70,268.52
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,494,7.12,123.70,263.97
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,507,7.12,123.70,262.77
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,520,7.12,123.70,268.11
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,533,7.12,123.70,266.11
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,546,7.12,123.70,265.40
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,559,7.12,123.70,267.93
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,572,7.12,123.70,264.73
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,585,7.12,123.70,263.13
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,598,7.12,123.70,266.24
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,611,7.12,123.70,266.37
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,624,7.12,123.70,265.45
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,637,7.12,123.70,268.72
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,650,7.12,123.70,269.00
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,663,7.12,123.70,269.23
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,676,7.12,123.70,270.00
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,689,7.12,123.70,269.30
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,702,7.12,123.70,268.19
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,715,7.12,123.70,268.07
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,728,7.12,123.70,265.16
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,741,7.12,123.70,263.49
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,754,7.12,123.70,261.99
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,767,7.12,123.70,268.17
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,780,7.12,123.70,264.02
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,793,7.12,123.70,263.16
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,806,7.12,123.70,269.94
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,819,7.12,123.70,264.01
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,832,7.12,123.70,262.74
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,845,7.12,123.70,262.09
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,858,7.12,123.70,261.47
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,871,7.12,123.70,260.86
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,884,7.12,123.70,260.41
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,897,7.12,123.70,260.38
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,910,7.12,123.70,265.04
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,923,7.12,123.70,269.48
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,936,7.12,123.70,264.42
10.1016/j.matchemphys.2011.07.043,reduced graphene oxide (rGO),cobalt oxide (Co₃O₄),,,6,KOH,three-electrode,thin-walled cell configuration,1097.24,0.000065,1,0.075,949,7.12,123.70,262.53
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,1097.24,0.000086,6.0,1.4,27821,7.12,4,569.96
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,8,523.34
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,12,503.77
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,16,486.20
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,20,483.03
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,24,483.30
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,28,488.17
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,32,487.40
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,36,485.66
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,40,483.20
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,44,482.01
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,48,480.76
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,52,472.89
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,56,465.99
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,60,459.48
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,64,453.32
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,68,448.63
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,72,440.81
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,76,434.93
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,80,427.51
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,84,419.65
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,88,413.52
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,92,408.83
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,96,397.11
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,100,393.94
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,104,393.90
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,108,391.18
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,112,390.09
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,116,387.64
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,120,386.21
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,124,383.71
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,128,381.23
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,132,378.76
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,136,376.27
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,140,373.77
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,144,371.28
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,148,369.31
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,152,366.67
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,156,366.18
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,160,363.81
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,164,362.56
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.0,1.4,27821,7.12,168,361.31
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,0.6,1.4,27821,7.12,100,277.34
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,1.2,1.4,27821,7.12,100,274.25
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,1.8,1.4,27821,7.12,100,262.52
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,2.4,1.4,27821,7.12,100,256.41
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,3,1.4,27821,7.12,100,248.71
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,3.6,1.4,27821,7.12,100,244.55
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,4.2,1.4,27821,7.12,100,241.84
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,4.8,1.4,27821,7.12,100,241.77
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,5.4,1.4,27821,7.12,100,237.80
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6,1.4,27821,7.12,100,235.50
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,6.6,1.4,27821,7.12,100,232.60
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,7.2,1.4,27821,7.12,100,230.22
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,7.8,1.4,27821,7.12,100,227.73
10.1007/s12274-012-0246-X,graphene,nickel cobaltite,,,6,KOH,asymmetric electrode,solartron 1470E Multichannel Potentiostat,71,0.000086,8.4,1.4,27821,7.12,100,224.16
